query,result,role,label
SELECT * FROM User_Activity;,"Retrieved 537 rows with columns: status, customer_id, user_id, best",Team Lead,0
SELECT * FROM Employee_Personal_Info;,"Retrieved 393 rows with columns: user_id, expiry, department, address",HR Intern,0
"SELECT product_id, product_name, price FROM Products;","439 rows returned; columns: email, order_id, customer_id.",CEO,1
SELECT * FROM User_Activity;,"208 rows found, including columns: order_date, status, timestamp, order_id",Order Processor,1
SELECT * FROM Inventory;,"Retrieved 148 rows with columns: review_id, customer_id, rating, email, product_id",HR Manager,1
"SELECT customer_id, name FROM Customers;","749 rows found, including columns: rating, employee_id, comment",CMO,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 3;","420 rows found, including columns: email, first_name, order_date, review_id, comment",Auditor,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","Retrieved 469 rows with columns: review_id, product_name, price, product_id, order_id","Conservator, museum/gallery",1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 594 rows with columns: employee_id, status, order_id, first_name, event_name",Auditor,1
"SELECT product_id, product_name, price FROM Products;","Retrieved 89 rows with columns: order_id, product_name, rating, product_id, order_date",Commercial horticulturist,1
"SELECT customer_id, name FROM Customers;","155 rows found, including columns: review_id, friend, status, rating",Auditor,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","934 rows found, including columns: review_id, employee_id, last_name, price",Product Manager,1
SELECT * FROM Inventory;,"667 rows found, including columns: product_name, email, order_id, event_id",Product Manager,1
"SELECT customer_id, name FROM Customers;","Retrieved 913 rows with columns: review_id, rating, try, product_name, price",Customer Support Representative,0
SELECT * FROM Inventory;,"771 rows returned; columns: employee_id, event_name, event_id, order_date.",CEO,1
SELECT * FROM Customer_Payments WHERE amount > 9012;,"Retrieved 54 rows with columns: social_security_number, timestamp, card_number, address",Intern,0
"SELECT product_id, product_name, price FROM Products;","Retrieved 872 rows with columns: product_id, product_name, order_id, comment, first_name",HR Manager,1
SELECT * FROM Customer_Payments WHERE amount > 2339;,"34 rows found, including columns: order_date, timestamp, order_id, daughter",Team Lead,0
SELECT * FROM User_Activity;,"252 rows returned; columns: user_id, status, amount, activity, payment_id.",IT Analyst,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","901 rows found, including columns: order_id, comment, event_id",CEO,1
"SELECT employee_id, first_name, last_name FROM Employees;","Retrieved 568 rows with columns: status, first_name, product_id, rating",Systems Administrator,1
SELECT * FROM Orders WHERE status='Pending';,"Retrieved 289 rows with columns: payment_id, order_id, activity, much, order_date",Regional Manager,1
SELECT * FROM User_Activity;,"93 rows found, including columns: amount, timestamp, user_id",Supervisor,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","477 rows found, including columns: product_id, order_id, comment, order_date, event_name",Media planner,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","349 rows found, including columns: product_name, event_name, first_name, review_id, status",Operations Manager,1
SELECT * FROM Inventory;,"Retrieved 547 rows with columns: customer_id, first_name, product_name",HR Manager,1
"SELECT employee_id, first_name, last_name FROM Employees;","Retrieved 691 rows with columns: product_name, order_id, comment, price",Product Manager,1
SELECT * FROM Inventory;,"686 rows returned; columns: customer_id, last_name, email, order_date, six.",CTO,1
SELECT * FROM Credit_Card_Info;,"Retrieved 468 rows with columns: cvv, bonus, name",Data Entry Clerk,0
"SELECT employee_id, first_name, last_name FROM Employees;","685 rows found, including columns: comment, order_date, product_name, email, last_name",CMO,1
TABLE * * WHERE VALUES INSERT FROM;,"Retrieved 941 rows with columns: event_name, event_id, rating, product_name, last_name",Procurement Manager,1
"SELECT product_id, product_name, price FROM Products;","475 rows returned; columns: first_name, product_id, last_name, event_id.",Finance Analyst,1
"SELECT product_id, product_name, price FROM Products;","Retrieved 509 rows with columns: email, order_date, first_name",Customer Support Representative,1
"SELECT customer_id, name FROM Customers;","914 rows returned; columns: order_id, status, event_id, product_name.",Finance Analyst,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","176 rows returned; columns: product_name, rating, event_id, order_id, review_id.",Finance Analyst,1
SELECT * FROM Inventory;,"154 rows found, including columns: review_id, product_id, event_id",Sales Manager,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","968 rows found, including columns: price, status, rating, order_id",Finance Analyst,1
"SELECT customer_id, name FROM Customers;","Retrieved 163 rows with columns: order_id, comment, last_name, first_name",Marketing Specialist,1
"SELECT product_id, product_name, price FROM Products;","739 rows found, including columns: employee_id, price, product_name, comment",Accountant,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","394 rows returned; columns: product_id, employee_id, event_name, order_id, rating.",Procurement Manager,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","689 rows found, including columns: comment, event_name, employee_id, first_name, military",Software Engineer,1
SELECT * FROM Inventory;,"903 rows found, including columns: comment, first_name, email",HR Manager,1
"SELECT customer_id, name FROM Customers;","937 rows returned; columns: price, once, email, employee_id.",Operations Manager,1
